Posicion,Equipo,Puntos
1,Coquimbo Unido,56
2,O´Higgins,41
3,A. Italiano,40
4,U. Católica,39
5,Palestino,39
6,U. de Chile,38
7,Cobresal,38
8,Colo Colo,31
9,Huachipato,31
10,Ñublense,29
11,U. La Calera,26
12,Everton Viña,22
13,Deportes La Serena,19
14,Deportes Limache,18
15,U. Española,17
16,D. Iquique,14
