Posicion,Equipo,Puntos
1,Coquimbo Unido,44
2,U. de Chile,38
3,Palestino,35
4,A. Italiano,34
5,O´Higgins,31
6,Cobresal,29
7,Colo Colo,27
8,U. Católica,27
9,Huachipato,25
10,Ñublense,23
11,U. La Calera,22
12,Everton Viña,19
13,Deportes La Serena,18
14,Deportes Limache,17
15,U. Española,13
16,D. Iquique,10
